#HEADER
#TITLES
 , ,J4206@Steer_Angle.RN_1
0,15.26,136.6058
0,15.27,138.2298
0,15.28,139.8538
0,15.29,141.4778
0,15.3,143.1018
0,15.31,144.7258
0,15.32,146.3498
0,15.33,147.9738
0,15.34,149.5978
0,15.35,151.2218
0,15.36,152.8458
0,15.37,154.4698
0,15.38,156.0938
0,15.39,157.7178
0,15.4,159.3418
0,15.41,160.9658
0,15.42,162.5898
0,15.43,164.2138
0,15.44,165.8378
0,15.45,167.4618
0,15.46,169.0858
0,15.47,170.7098
0,15.48,172.3338
0,15.49,173.9578
0,15.5,175.5818
0,15.51,177.2058
0,15.52,178.8298
0,15.53,180.4538
0,15.54,182.0778
0,15.55,183.7018
0,15.56,185.3258
0,15.57,186.9498
0,15.58,188.5738
0,15.59,190.1978
0,15.6,191.8218
0,15.61,193.4458
0,15.62,195.0698
0,15.63,196.6938
0,15.64,198.3178
0,15.65,199.9418
0,15.66,201.5658
1,15.67000,203.1898
2,15.68000,203.4281
3,15.69000,203.6475
4,15.70000,203.8482
5,15.71000,204.0301
6,15.72000,204.1932
7,15.73000,204.3376
8,15.74000,204.4633
9,15.75000,204.5703
10,15.76000,204.6586
11,15.77000,204.7281
12,15.78000,204.7791
13,15.79000,204.8114
14,15.80000,204.8252
15,15.81000,204.8203
16,15.82000,204.7969
17,15.83000,204.7549
18,15.84000,204.6945
19,15.85000,204.6156
20,15.86000,204.5183
21,15.87000,204.4026
22,15.88000,204.2685
23,15.89000,204.1161
24,15.90000,203.9454
25,15.91000,203.7565
26,15.92000,203.5493
27,15.93000,203.3241
28,15.94000,203.0807
29,15.95000,202.8192
30,15.96000,202.5397
31,15.97000,202.2423
32,15.98000,201.9269
33,15.99000,201.5937
34,16.00000,201.2427
35,16.01000,200.8739
36,16.02000,200.4874
37,16.03000,200.0833
38,16.04000,199.6616
39,16.05000,199.2223
40,16.06000,198.7656
41,16.07000,198.2915
42,16.08000,197.8
43,16.09000,197.2913
44,16.10000,196.7654
45,16.11000,196.2223
46,16.12000,195.6622
47,16.13000,195.0851
48,16.14000,194.491
49,16.15000,193.8801
50,16.16000,193.2524
51,16.17000,192.608
52,16.18000,191.9469
53,16.19000,191.2693
54,16.20000,190.5752
55,16.21000,189.8647
56,16.22000,189.1379
57,16.23000,188.3949
58,16.24000,187.6357
59,16.25000,186.8604
60,16.26000,186.0692
61,16.27000,185.262
62,16.28000,184.439
63,16.29000,183.6003
64,16.30000,182.7459
65,16.31000,181.876
66,16.32000,180.9906
67,16.33000,180.0899
68,16.34000,179.1739
69,16.35000,178.2427
70,16.36000,177.2964
71,16.37000,176.3351
72,16.38000,175.3589
73,16.39000,174.3679
74,16.40000,173.3622
75,16.41000,172.3419
76,16.42000,171.3071
77,16.43000,170.2579
78,16.44000,169.1944
79,16.45000,168.1166
80,16.46000,167.0248
81,16.47000,165.919
82,16.48000,164.7992
83,16.49000,163.6657
84,16.50000,162.5185
85,16.51000,161.3578
86,16.52000,160.1835
87,16.53000,158.996
88,16.54000,157.7951
89,16.55000,156.5811
90,16.56000,155.3541
91,16.57000,154.1142
92,16.58000,152.8615
93,16.59000,151.5961
94,16.60000,150.318
95,16.61000,149.0276
96,16.62000,147.7247
97,16.63000,146.4097
98,16.64000,145.0825
99,16.65000,143.7433
100,16.66000,142.3923
101,16.67000,141.0294
102,16.68000,139.655
103,16.69000,138.2689
104,16.70000,136.8715
105,16.71000,135.4628
106,16.72000,134.0429
107,16.73000,132.612
108,16.74000,131.1701
109,16.75000,129.7175
110,16.76000,128.2541
111,16.77000,126.7802
112,16.78000,125.2959
113,16.79000,123.8013
114,16.80000,122.2965
115,16.81000,120.7816
116,16.82000,119.2568
117,16.83000,117.7222
118,16.84000,116.1779
119,16.85000,114.6241
120,16.86000,113.0608
121,16.87000,111.4883
122,16.88000,109.9065
123,16.89000,108.3158
124,16.90000,106.7162
125,16.91000,105.1077
126,16.92000,103.4907
127,16.93000,101.8651
128,16.94000,100.2311
129,16.95000,98.58894
130,16.96000,96.93861
131,16.97000,95.2803
132,16.98000,93.61415
133,16.99000,91.94028
134,17.00000,90.25882
135,17.01000,88.56991
136,17.02000,86.87369
137,17.03000,85.17028
138,17.04000,83.45982
139,17.05000,81.74246
140,17.06000,80.01833
141,17.07000,78.28754
142,17.08000,76.55026
143,17.09000,74.80661
144,17.10000,73.05672
145,17.11000,71.30075
146,17.12000,69.53882
147,17.13000,67.77106
148,17.14000,65.99763
149,17.15000,64.21864
150,17.16000,62.43426
151,17.17000,60.6446
152,17.18000,58.84982
153,17.19000,57.05004
154,17.20000,55.24541
155,17.21000,53.43607
156,17.22000,51.62215
157,17.23000,49.8038
158,17.24000,47.98115
159,17.25000,46.15434
160,17.26000,44.32352
161,17.27000,42.48882
162,17.28000,40.65039
163,17.29000,38.80836
164,17.30000,36.96287
165,17.31000,35.11406
166,17.32000,33.26208
167,17.33000,31.40707
168,17.34000,29.54916
169,17.35000,27.68849
170,17.36000,25.82521
171,17.37000,23.95946
172,17.38000,22.09138
173,17.39000,20.22111
174,17.40000,18.34878
175,17.41000,16.47455
176,17.42000,14.59855
177,17.43000,12.72092
178,17.44000,10.8418
179,17.45000,8.961338
180,17.46000,7.079671
181,17.47000,5.196941
182,17.48000,3.313287
183,17.49000,1.428852
184,17.50000,-0.456225
185,17.51000,-2.341803
186,17.52000,-4.22774
187,17.53000,-6.113897
188,17.54000,-8.000134
189,17.55000,-9.886308
190,17.56000,-11.77228
191,17.57000,-13.65791
192,17.58000,-15.54306
193,17.59000,-17.42758
194,17.60000,-19.31135
195,17.61000,-21.19421
196,17.62000,-23.07603
197,17.63000,-24.95666
198,17.64000,-26.83598
199,17.65000,-28.71384
200,17.66000,-30.59009
201,17.67000,-32.46461
202,17.68000,-34.33726
203,17.69000,-36.20789
204,17.70000,-38.07637
205,17.71000,-39.94255
206,17.72000,-41.80631
207,17.73000,-43.6675
208,17.74000,-45.52599
209,17.75000,-47.38163
210,17.76000,-49.2343
211,17.77000,-51.08385
212,17.78000,-52.93016
213,17.79000,-54.77308
214,17.80000,-56.61248
215,17.81000,-58.44822
216,17.82000,-60.28016
217,17.83000,-62.10818
218,17.84000,-63.93215
219,17.85000,-65.75191
220,17.86000,-67.56735
221,17.87000,-69.37833
222,17.88000,-71.1847
223,17.89000,-72.98636
224,17.90000,-74.78315
225,17.91000,-76.57495
226,17.92000,-78.36163
227,17.93000,-80.14306
228,17.94000,-81.9191
229,17.95000,-83.68963
230,17.96000,-85.45451
231,17.97000,-87.21363
232,17.98000,-88.96684
233,17.99000,-90.71403
234,18.00000,-92.45506
235,18.01000,-94.1898
236,18.02000,-95.91814
237,18.03000,-97.63993
238,18.04000,-99.35506
239,18.05000,-101.0634
240,18.06000,-102.7649
241,18.07000,-104.4593
242,18.08000,-106.1465
243,18.09000,-107.8265
244,18.10000,-109.499
245,18.11000,-111.1641
246,18.12000,-112.8214
247,18.13000,-114.4711
248,18.14000,-116.1128
249,18.15000,-117.7465
250,18.16000,-119.3721
251,18.17000,-120.9895
252,18.18000,-122.5985
253,18.19000,-124.199
254,18.20000,-125.791
255,18.21000,-127.3742
256,18.22000,-128.9486
257,18.23000,-130.5141
258,18.24000,-132.0705
259,18.25000,-133.6178
260,18.26000,-135.1558
261,18.27000,-136.6844
262,18.28000,-138.2036
263,18.29000,-139.7131
264,18.30000,-141.2129
265,18.31000,-142.7029
266,18.32000,-144.183
267,18.33000,-145.653
268,18.34000,-147.1129
269,18.35000,-148.5626
270,18.36000,-150.0019
271,18.37000,-151.4308
272,18.38000,-152.8491
273,18.39000,-154.2568
274,18.40000,-155.6537
275,18.41000,-157.0398
276,18.42000,-158.4149
277,18.43000,-159.7789
278,18.44000,-161.1318
279,18.45000,-162.4735
280,18.46000,-163.8038
281,18.47000,-165.1227
282,18.48000,-166.4301
283,18.49000,-167.7258
284,18.50000,-169.0099
285,18.51000,-170.2821
286,18.52000,-171.5424
287,18.53000,-172.7907
288,18.54000,-174.027
289,18.55000,-175.2511
290,18.56000,-176.463
291,18.57000,-177.6625
292,18.58000,-178.8496
293,18.59000,-180.0242
294,18.60000,-181.1862
295,18.61000,-182.3355
296,18.62000,-183.4721
297,18.63000,-184.5959
298,18.64000,-185.7067
299,18.65000,-186.8046
300,18.66000,-187.8894
301,18.67000,-188.961
302,18.68000,-190.0195
303,18.69000,-191.0646
304,18.70000,-192.0964
305,18.71000,-193.1147
306,18.72000,-194.1195
307,18.73000,-195.1107
308,18.74000,-196.0883
309,18.75000,-197.0521
310,18.76000,-198.0022
311,18.77000,-198.9384
312,18.78000,-199.8607
313,18.79000,-200.7689
314,18.80000,-201.6631
315,18.81000,-202.5432
316,18.82000,-203.4092
317,18.83000,-204.2608
318,18.84000,-205.0982
319,18.85000,-205.9212
320,18.86000,-206.7298
321,18.87000,-207.5239
322,18.88000,-208.3035
323,18.89000,-209.0685
324,18.90000,-209.8188
325,18.91000,-210.5545
326,18.92000,-211.2753
327,18.93000,-211.9814
328,18.94000,-212.6726
329,18.95000,-213.349
330,18.96000,-214.0103
331,18.97000,-214.6567
332,18.98000,-215.288
333,18.99000,-215.9042
334,19.00000,-216.5053
335,19.01000,-217.0912
336,19.02000,-217.6619
337,19.03000,-218.2173
338,19.04000,-218.7574
339,19.05000,-219.2821
340,19.06000,-219.7915
341,19.07000,-220.2854
342,19.08000,-220.7638
343,19.09000,-221.2268
344,19.10000,-221.6742
345,19.11000,-222.1061
346,19.12000,-222.5224
347,19.13000,-222.923
348,19.14000,-223.3079
349,19.15000,-223.6772
350,19.16000,-224.0307
351,19.17000,-224.3685
352,19.18000,-224.6905
353,19.19000,-224.9967
354,19.20000,-225.2871
355,19.21000,-225.5616
356,19.22000,-225.8203
357,19.23000,-226.063
358,19.24000,-226.2898
359,19.25000,-226.5007
360,19.26000,-226.6956
361,19.27000,-226.8745
362,19.28000,-227.0374
363,19.29000,-227.1844
364,19.30000,-227.3152
365,19.31000,-227.4301
366,19.32000,-227.5289
367,19.33000,-227.6116
368,19.34000,-227.6783
369,19.35000,-227.7288
370,19.36000,-227.7633
371,19.37000,-227.7816
372,19.38000,-227.7839
373,19.39000,-227.77
374,19.40000,-227.74
375,19.41000,-227.6939
376,19.42000,-227.6316
377,19.43000,-227.5532
378,19.44000,-227.4587
379,19.45000,-227.348
380,19.46000,-227.2212
381,19.47000,-227.0783
382,19.48000,-226.9192
383,19.49000,-226.7441
384,19.50000,-226.5528
385,19.51000,-226.3454
386,19.52000,-226.1218
387,19.53000,-225.8822
388,19.54000,-225.6265
389,19.55000,-225.3547
390,19.56000,-225.0669
391,19.57000,-224.763
392,19.58000,-224.4431
393,19.59000,-224.1071
394,19.60000,-223.7551
395,19.61000,-223.3872
396,19.62000,-223.0032
397,19.63000,-222.6033
398,19.64000,-222.1875
399,19.65000,-221.7558
400,19.66000,-221.3081
401,19.67000,-220.8446
402,19.68000,-220.3653
403,19.69000,-219.8701
404,19.70000,-219.3591
405,19.71000,-218.8324
406,19.72000,-218.2899
407,19.73000,-217.7318
408,19.74000,-217.1579
409,19.75000,-216.5684
410,19.76000,-215.9633
411,19.77000,-215.3426
412,19.78000,-214.7063
413,19.79000,-214.0546
414,19.80000,-213.3874
415,19.81000,-212.7047
416,19.82000,-212.0067
417,19.83000,-211.2933
418,19.84000,-210.5646
419,19.85000,-209.8206
420,19.86000,-209.0614
421,19.87000,-208.2871
422,19.88000,-207.4976
423,19.89000,-206.693
424,19.90000,-205.8733
425,19.91000,-205.0387
426,19.92000,-204.1892
427,19.93000,-203.3247
428,19.94000,-202.4454
429,19.95000,-201.5514
430,19.96000,-200.6426
431,19.97000,-199.7192
432,19.98000,-198.7811
433,19.99000,-197.8285
434,20.00000,-196.8614
435,20.01000,-195.8798
436,20.02000,-194.8839
437,20.03000,-193.8737
438,20.04000,-192.8492
439,20.05000,-191.8105
440,20.06000,-190.7578
441,20.07000,-189.6909
442,20.08000,-188.6101
443,20.09000,-187.5154
444,20.10000,-186.4069
445,20.11000,-185.2845
446,20.12000,-184.1485
447,20.13000,-182.9989
448,20.14000,-181.8357
449,20.15000,-180.659
450,20.16000,-179.4689
451,20.17000,-178.2655
452,20.18000,-177.0489
453,20.19000,-175.8191
454,20.20000,-174.5762
455,20.21000,-173.3204
456,20.22000,-172.0516
457,20.23000,-170.77
458,20.24000,-169.4756
459,20.25000,-168.1686
460,20.26000,-166.849
461,20.27000,-165.517
462,20.28000,-164.1725
463,20.29000,-162.8158
464,20.30000,-161.4468
465,20.31000,-160.0657
466,20.32000,-158.6726
467,20.33000,-157.2675
468,20.34000,-155.8506
469,20.35000,-154.422
470,20.36000,-152.9817
471,20.37000,-151.5299
472,20.38000,-150.0666
473,20.39000,-148.592
474,20.40000,-147.1062
475,20.41000,-145.6092
476,20.42000,-144.1012
477,20.43000,-142.5822
478,20.44000,-141.0524
479,20.45000,-139.5119
480,20.46000,-137.9607
481,20.47000,-136.3991
482,20.48000,-134.827
483,20.49000,-133.2447
484,20.50000,-131.6522
485,20.51000,-130.0496
486,20.52000,-128.4371
487,20.53000,-126.8147
488,20.54000,-125.1826
489,20.55000,-123.5408
490,20.56000,-121.8896
491,20.57000,-120.229
492,20.58000,-118.5591
493,20.59000,-116.8801
494,20.60000,-115.192
495,20.61000,-113.4951
496,20.62000,-111.7893
497,20.63000,-110.0749
498,20.64000,-108.3519
499,20.65000,-106.6205
500,20.66000,-104.8808
501,20.67000,-103.1329
502,20.68000,-101.377
503,20.69000,-99.61314
504,20.70000,-97.84149
505,20.71000,-96.06216
506,20.72000,-94.27528
507,20.73000,-92.481
508,20.74000,-90.67941
509,20.75000,-88.87067
510,20.76000,-87.05491
511,20.77000,-85.23225
512,20.78000,-83.40282
513,20.79000,-81.56675
514,20.80000,-79.72418
515,20.81000,-77.87525
516,20.82000,-76.02009
517,20.83000,-74.15882
518,20.84000,-72.29159
519,20.85000,-70.41853
520,20.86000,-68.53978
521,20.87000,-66.65548
522,20.88000,-64.76575
523,20.89000,-62.87075
524,20.90000,-60.97061
525,20.91000,-59.06546
526,20.92000,-57.15545
527,20.93000,-55.24071
528,20.94000,-53.32139
529,20.95000,-51.39763
530,20.96000,-49.46956
531,20.97000,-47.53733
532,20.98000,-45.60109
533,20.99000,-43.66096
534,21.00000,-41.71711
535,21.01000,-39.76966
536,21.02000,-37.81876
537,21.03000,-35.86456
538,21.04000,-33.9072
539,21.05000,-31.94683
540,21.06000,-29.98358
541,21.07000,-28.01761
542,21.08000,-26.04906
543,21.09000,-24.07807
544,21.10000,-22.10479
545,21.11000,-20.12937
546,21.12000,-18.15195
547,21.13000,-16.17268
548,21.14000,-14.1917
549,21.15000,-12.20917
550,21.16000,-10.22523
551,21.17000,-8.240021
552,21.18000,-6.253699
553,21.19000,-4.266409
554,21.20000,-2.278297
555,21.21000,-0.2895114
556,21.22000,1.6998
557,21.23000,3.68949
558,21.24000,5.67941
559,21.25000,7.669413
560,21.26000,9.659351
561,21.27000,11.64908
562,21.28000,13.63844
563,21.29000,15.6273
564,21.30000,17.6155
565,21.31000,19.60289
566,21.32000,21.58934
567,21.33000,23.57468
568,21.34000,25.55878
569,21.35000,27.54149
570,21.36000,29.52266
571,21.37000,31.50214
572,21.38000,33.47979
573,21.39000,35.45546
574,21.40000,37.429
575,21.41000,39.40026
576,21.42000,41.36912
577,21.43000,43.33541
578,21.44000,45.29899
579,21.45000,47.25972
580,21.46000,49.21745
581,21.47000,51.17204
582,21.48000,53.12334
583,21.49000,55.07122
584,21.50000,57.01553
585,21.51000,58.95613
586,21.52000,60.89287
587,21.53000,62.82561
588,21.54000,64.75422
589,21.55000,66.67855
590,21.56000,68.59846
591,21.57000,70.51382
592,21.58000,72.42448
593,21.59000,74.33031
594,21.60000,76.23118
595,21.61000,78.12693
596,21.62000,80.01745
597,21.63000,81.90258
598,21.64000,83.7822
599,21.65000,85.65617
600,21.66000,87.52437
601,21.67000,89.38666
602,21.68000,91.2429
603,21.69000,93.09296
604,21.70000,94.93673
605,21.71000,96.77406
606,21.72000,98.60483
607,21.73000,100.4289
608,21.74000,102.2462
609,21.75000,104.0565
610,21.76000,105.8598
611,21.77000,107.6558
612,21.78000,109.4446
613,21.79000,111.2259
614,21.80000,112.9997
615,21.81000,114.7658
616,21.82000,116.5241
617,21.83000,118.2746
618,21.84000,120.0169
619,21.85000,121.7512
620,21.86000,123.4772
621,21.87000,125.1948
622,21.88000,126.904
623,21.89000,128.6046
624,21.90000,130.2965
625,21.91000,131.9796
626,21.92000,133.6537
627,21.93000,135.3189
628,21.94000,136.9749
629,21.95000,138.6218
630,21.96000,140.2593
631,21.97000,141.8874
632,21.98000,143.5059
633,21.99000,145.1149
634,22.00000,146.7141
635,22.01000,148.3036
636,22.02000,149.8831
637,22.03000,151.4527
638,22.04000,153.0121
639,22.05000,154.5614
640,22.06000,156.1005
641,22.07000,157.6292
642,22.08000,159.1475
643,22.09000,160.6553
644,22.10000,162.1525
645,22.11000,163.639
646,22.12000,165.1148
647,22.13000,166.5798
648,22.14000,168.0338
649,22.15000,169.4769
650,22.16000,170.909
651,22.17000,172.3299
652,22.18000,173.7397
653,22.19000,175.1382
654,22.20000,176.5255
655,22.21000,177.9013
656,22.22000,179.2657
657,22.23000,180.6186
658,22.24000,181.96
659,22.25000,183.2897
660,22.26000,184.6078
661,22.27000,185.9142
662,22.28000,187.2088
663,22.29000,188.4916
664,22.30000,189.7625
665,22.31000,191.0215
666,22.32000,192.2686
667,22.33000,193.5036
668,22.34000,194.7267
669,22.35000,195.9376
670,22.36000,197.1364
671,22.37000,198.323
672,22.38000,199.4975
673,22.39000,200.6597
674,22.40000,201.8097
675,22.41000,202.9473
676,22.42000,204.0727
677,22.43000,205.1857
678,22.44000,206.2864
679,22.45000,207.3747
680,22.46000,208.4505
681,22.47000,209.514
682,22.48000,210.565
683,22.49000,211.6035
684,22.50000,212.6296
685,22.51000,213.6431
686,22.52000,214.6442
687,22.53000,215.6328
688,22.54000,216.6088
689,22.55000,217.5723
690,22.56000,218.5233
691,22.57000,219.4617
692,22.58000,220.3877
693,22.59000,221.3011
694,22.60000,222.2019
695,22.61000,223.0903
696,22.62000,223.9661
697,22.63000,224.8294
698,22.64000,225.6801
699,22.65000,226.5184
700,22.66000,227.3442
701,22.67000,228.1575
702,22.68000,228.9584
703,22.69000,229.7468
704,22.70000,230.5228
705,22.71000,231.2864
706,22.72000,232.0376
707,22.73000,232.7764
708,22.74000,233.5028
709,22.75000,234.2169
710,22.76000,234.9188
711,22.77000,235.6084
712,22.78000,236.2857
713,22.79000,236.9508
714,22.80000,237.6037
715,22.81000,238.2445
716,22.82000,238.8731
717,22.83000,239.4897
718,22.84000,240.0942
719,22.85000,240.6867
720,22.86000,241.2672
721,22.87000,241.8358
722,22.88000,242.3924
723,22.89000,242.9372
724,22.90000,243.4702
725,22.91000,243.9915
726,22.92000,244.501
727,22.93000,244.9988
728,22.94000,245.485
729,22.95000,245.9596
730,22.96000,246.4227
731,22.97000,246.8742
732,22.98000,247.3143
733,22.99000,247.7431
734,23.00000,248.1605
735,23.01000,248.5666
736,23.02000,248.9615
737,23.03000,249.3452
738,23.04000,249.7177
739,23.05000,250.0793
740,23.06000,250.4298
741,23.07000,250.7693
742,23.08000,251.098
743,23.09000,251.4158
744,23.10000,251.7228
745,23.11000,252.0191
746,23.12000,252.3048
747,23.13000,252.5799
748,23.14000,252.8444
749,23.15000,253.0985
750,23.16000,253.3421
751,23.17000,253.5754
752,23.18000,253.7985
753,23.19000,254.0113
754,23.20000,254.2139
755,23.21000,254.4065
756,23.22000,254.589
757,23.23000,254.7616
758,23.24000,254.9243
759,23.25000,255.0771
760,23.26000,255.2202
761,23.27000,255.3536
762,23.28000,255.4774
763,23.29000,255.5916
764,23.30000,255.6963
765,23.31000,255.7916
766,23.32000,255.8775
767,23.33000,255.9542
768,23.34000,256.0216
769,23.35000,256.0799
770,23.36000,256.129
771,23.37000,256.1692
772,23.38000,256.2003
773,23.39000,256.2227
774,23.40000,256.2361
775,23.41000,256.2409
776,23.42000,256.2369
777,23.43000,256.2243
778,23.44000,256.2032
779,23.45000,256.1736
780,23.46000,256.1356
781,23.47000,256.0892
782,23.48000,256.0345
783,23.49000,255.9716
784,23.50000,255.9006
785,23.51000,255.8215
786,23.52000,255.7343
787,23.53000,255.6392
788,23.54000,255.5362
789,23.55000,255.4254
790,23.56000,255.3068
791,23.57000,255.1805
792,23.58000,255.0466
793,23.59000,254.905
794,23.60000,254.756
795,23.61000,254.5995
796,23.62000,254.4356
797,23.63000,254.2644
798,23.64000,254.0859
799,23.65000,253.9002
800,23.66000,253.7073
801,23.67000,253.5074
802,23.68000,253.3004
803,23.69000,253.0864
804,23.70000,252.8654
805,23.71000,252.6376
806,23.72000,252.403
807,23.73000,252.1617
808,23.74000,251.9136
809,23.75000,251.6588
810,23.76000,251.3974
811,23.77000,251.1295
812,23.78000,250.8551
813,23.79000,250.5742
814,23.80000,250.287
815,23.81000,249.9933
816,23.82000,249.6934
817,23.83000,249.3872
818,23.84000,249.0748
819,23.85000,248.7561
820,23.86000,248.4314
821,23.87000,248.1006
822,23.88000,247.7637
823,23.89000,247.4208
824,23.90000,247.072
825,23.91000,246.7172
826,23.92000,246.3566
827,23.93000,245.9901
828,23.94000,245.6178
829,23.95000,245.2397
830,23.96000,244.8559
831,23.97000,244.4663
832,23.98000,244.0711
833,23.99000,243.6703
834,24.00000,243.2638
835,24.01000,242.8517
836,24.02000,242.4341
837,24.03000,242.011
838,24.04000,241.5824
839,24.05000,241.1482
840,24.06000,240.7087
841,24.07000,240.2637
842,24.08000,239.8133
843,24.09000,239.3575
844,24.10000,238.8964
845,24.11000,238.4299
846,24.12000,237.9581
847,24.13000,237.4809
848,24.14000,236.9985
849,24.15000,236.5108
850,24.16000,236.0179
851,24.17000,235.5197
852,24.18000,235.0162
853,24.19000,234.5076
854,24.20000,233.9937
855,24.21000,233.4746
856,24.22000,232.9503
857,24.23000,232.4208
858,24.24000,231.8861
859,24.25000,231.3462
860,24.26000,230.8011
861,24.27000,230.2509
862,24.28000,229.6955
863,24.29000,229.1349
864,24.30000,228.5691
865,24.31000,227.9981
866,24.32000,227.4219
867,24.33000,226.8406
868,24.34000,226.254
869,24.35000,225.6622
870,24.36000,225.0653
871,24.37000,224.4631
872,24.38000,223.8556
873,24.39000,223.243
874,24.40000,222.625
875,24.41000,222.0018
876,24.42000,221.3734
877,24.43000,220.7396
878,24.44000,220.1005
879,24.45000,219.4561
880,24.46000,218.8063
881,24.47000,218.1512
882,24.48000,217.4906
883,24.49000,216.8247
884,24.50000,216.1534
885,24.51000,215.4765
886,24.52000,214.7943
887,24.53000,214.1064
888,24.54000,213.4131
889,24.55000,212.7142
890,24.56000,212.0098
891,24.57000,211.2997
892,24.58000,210.584
893,24.59000,209.8626
894,24.60000,209.1355
895,24.61000,208.4027
896,24.62000,207.6642
897,24.63000,206.9198
898,24.64000,206.1696
899,24.65000,205.4135
900,24.66000,204.6515
901,24.67000,203.8835
902,24.68000,203.1096
903,24.69000,202.3297
904,24.70000,201.5437
905,24.71000,200.7516
906,24.72000,199.9534
907,24.73000,199.149
908,24.74000,198.3384
909,24.75000,197.5215
910,24.76000,196.6984
911,24.77000,195.8689
912,24.78000,195.0329
913,24.79000,194.1906
914,24.80000,193.3418
915,24.81000,192.4864
916,24.82000,191.6245
917,24.83000,190.756
918,24.84000,189.8808
919,24.85000,188.9989
920,24.86000,188.1102
921,24.87000,187.2147
922,24.88000,186.3124
923,24.89000,185.4032
924,24.90000,184.487
925,24.91000,183.5638
926,24.92000,182.6336
927,24.93000,181.6962
928,24.94000,180.7518
929,24.95000,179.8001
930,24.96000,178.8411
931,24.97000,177.8749
932,24.98000,176.9013
933,24.99000,175.9204
934,25.00000,174.9319
935,25.01000,173.936
936,25.02000,172.9325
937,25.03000,171.9214
938,25.04000,170.9027
939,25.05000,169.8763
940,25.06000,168.8421
941,25.07000,167.8001
942,25.08000,166.7502
943,25.09000,165.6925
944,25.10000,164.6268
945,25.11000,163.5531
946,25.12000,162.4714
947,25.13000,161.3815
948,25.14000,160.2836
949,25.15000,159.1774
950,25.16000,158.063
951,25.17000,156.9402
952,25.18000,155.8092
953,25.19000,154.6698
954,25.20000,153.5219
955,25.21000,152.3656
956,25.22000,151.2008
957,25.23000,150.0274
958,25.24000,148.8454
959,25.25000,147.6548
960,25.26000,146.4555
961,25.27000,145.2474
962,25.28000,144.0306
963,25.29000,142.805
964,25.30000,141.5705
965,25.31000,140.3272
966,25.32000,139.0749
967,25.33000,137.8137
968,25.34000,136.5435
969,25.35000,135.2643
970,25.36000,133.976
971,25.37000,132.6786
972,25.38000,131.3721
973,25.39000,130.0564
974,25.40000,128.7316
975,25.41000,127.3975
976,25.42000,126.0542
977,25.43000,124.7017
978,25.44000,123.3399
979,25.45000,121.9687
980,25.46000,120.5882
981,25.47000,119.1984
982,25.48000,117.7992
983,25.49000,116.3907
984,25.50000,114.9727
985,25.51000,113.5453
986,25.52000,112.1085
987,25.53000,110.6622
988,25.54000,109.2065
989,25.55000,107.7413
990,25.56000,106.2666
991,25.57000,104.7825
992,25.58000,103.2888
993,25.59000,101.7857
994,25.60000,100.2731
995,25.61000,98.75103
996,25.62000,97.21946
997,25.63000,95.6784
998,25.64000,94.12787
999,25.65000,92.56786
1000,25.66000,90.9984
1001,25.67000,89.41949
1002,25.68000,87.83113
1003,25.69000,86.23336
1004,25.70000,84.62617
1005,25.71000,83.0096
1006,25.72000,81.38366
1007,25.73000,79.74836
1008,25.74000,78.10374
1009,25.75000,76.44982
1010,25.76000,74.78663
1011,25.77000,73.1142
1012,25.78000,71.43255
1013,25.79000,69.74172
1014,25.80000,68.04175
1015,25.81000,66.33267
1016,25.82000,64.61452
